country;cnt_code;year;va;ps;ge;rq;rl;cc;fh
Aruba;ABW;2016;1,27;1,28;0,90;1,35;1,29;1,29;
Andorra;ADO;2016;1,20;1,40;1,86;0,87;1,56;1,23;1
Afghanistan;AFG;2016;-1,09;-2,75;-1,22;-1,33;-1,62;-1,56;6
Angola;AGO;2016;-1,17;-0,39;-1,04;-1,00;-1,08;-1,41;6
Anguilla;AIA;2016;#N/A;1,31;1,33;0,87;-0,09;1,23;
Albania;ALB;2016;0,16;0,26;0,00;0,19;-0,35;-0,40;3
Netherlands Antilles (former);ANT;2016;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
United Arab Emirates;ARE;2016;-1,12;0,44;1,41;0,97;0,89;1,28;
Argentina;ARG;2016;0,54;0,22;0,18;-0,47;-0,35;-0,31;2
Armenia;ARM;2016;-0,62;-0,60;-0,15;0,25;-0,11;-0,57;4,5
American Samoa;ASM;2016;#N/A;1,19;0,53;0,14;1,33;1,23;
Antigua and Barbuda;ATG;2016;0,65;1,01;0,27;0,34;0,51;0,69;2
Australia;AUS;2016;1,30;0,96;1,58;1,90;1,75;1,77;1
Austria;AUT;2016;1,29;0,82;1,51;1,44;1,78;1,54;1
Azerbaijan;AZE;2016;-1,60;-0,87;-0,16;-0,28;-0,57;-0,87;6,5
Burundi;BDI;2016;-1,51;-2,08;-1,40;-0,83;-1,39;-1,18;6,5
Belgium;BEL;2016;1,35;0,48;1,33;1,34;1,40;1,60;1
Benin;BEN;2016;0,50;0,05;-0,57;-0,53;-0,65;-0,48;2
Burkina Faso;BFA;2016;0,04;-0,95;-0,55;-0,40;-0,45;-0,13;3,5
Bangladesh;BGD;2016;-0,56;-1,24;-0,69;-0,80;-0,59;-0,80;4
Bulgaria;BGR;2016;0,44;0,03;0,29;0,66;-0,04;-0,16;2
Bahrain;BHR;2016;-1,45;-0,86;0,32;0,61;0,46;-0,06;6,5
Bahamas, The;BHS;2016;0,94;0,90;0,72;0,26;0,23;1,13;1
Bosnia and Herzegovina;BIH;2016;-0,16;-0,38;-0,43;-0,17;-0,29;-0,47;3,5
Belarus;BLR;2016;-1,39;0,12;-0,51;-0,94;-0,78;-0,29;6,5
Belize;BLZ;2016;0,67;0,06;-0,68;-0,51;-0,86;-0,24;1,5
Bermuda;BMU;2016;#N/A;1,00;1,33;0,87;0,86;1,23;
Bolivia;BOL;2016;0,01;-0,21;-0,57;-0,92;-1,20;-0,71;3
Brazil;BRA;2016;0,47;-0,45;-0,18;-0,21;-0,08;-0,44;2
Barbados;BRB;2016;1,10;0,96;1,08;0,48;0,78;1,24;1
Brunei Darussalam;BRN;2016;-0,95;1,26;1,07;0,59;0,62;0,66;5,5
Bhutan;BTN;2016;-0,05;0,99;0,49;-0,67;0,47;1,14;3,5
South Sudan;SSD;2016;-1,67;-2,42;-2,26;-1,86;-1,69;-1,58;6,5
Botswana;BWA;2016;0,42;1,09;0,51;0,53;0,52;0,93;2,5
Central African Republic;CAF;2016;-1,13;-1,74;-1,77;-1,43;-1,84;-1,28;7
Canada;CAN;2016;1,38;1,24;1,80;1,74;1,84;1,98;1
Switzerland;CHE;2016;1,46;1,32;2,03;1,91;1,94;2,05;1
Chile;CHL;2016;1,00;0,51;1,02;1,37;1,13;1,11;1
China;CHN;2016;-1,62;-0,52;0,36;-0,26;-0,22;-0,25;6,5
Côte d'Ivoire;CIV;2016;-0,28;-0,90;-0,67;-0,36;-0,67;-0,54;4
Cameroon;CMR;2016;-1,03;-0,95;-0,76;-0,79;-1,02;-1,14;6
Congo, Rep.;COG;2016;-1,16;-0,57;-1,10;-1,17;-1,04;-1,21;5,5
Cook Islands;COK;2016;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
Colombia;COL;2016;0,10;-0,96;0,02;0,40;-0,32;-0,34;3,5
Comoros;COM;2016;-0,18;-0,02;-1,54;-1,05;-1,13;-0,64;3,5
Cape Verde;CPV;2016;1,02;0,88;0,10;-0,30;0,35;0,88;1
Costa Rica;CRI;2016;1,14;0,75;0,36;0,41;0,46;0,70;1
Cuba;CUB;2016;-1,63;0,62;-0,13;-1,34;-0,41;0,05;6,5
Cayman Islands;CYM;2016;0,47;1,17;1,18;0,79;0,78;0,53;
Cyprus;CYP;2016;1,08;0,57;0,98;1,05;0,73;0,82;1
Czech Republic;CZE;2016;1,05;0,99;1,06;0,99;1,09;0,51;1
Germany;DEU;2016;1,33;0,76;1,74;1,82;1,61;1,83;1
Djibouti;DJI;2016;-1,32;-0,63;-0,97;-0,70;-0,97;-0,65;5,5
Dominica;DMA;2016;0,99;1,13;0,05;0,20;0,61;0,63;1
Denmark;DNK;2016;1,47;0,85;1,89;1,58;1,90;2,24;1
Dominican Republic;DOM;2016;0,19;0,29;-0,25;-0,07;-0,29;-0,78;3
Algeria;DZA;2016;-0,88;-1,14;-0,54;-1,17;-0,85;-0,69;5,5
Ecuador;ECU;2016;-0,25;-0,10;-0,43;-1,02;-0,69;-0,67;3
Egypt, Arab Rep.;EGY;2016;-1,23;-1,42;-0,66;-0,92;-0,41;-0,63;5,5
Eritrea;ERI;2016;-2,10;-0,88;-1,69;-2,19;-1,53;-1,13;7
Spain;ESP;2016;1,06;0,49;1,12;1,01;0,98;0,52;1
Estonia;EST;2016;1,20;0,69;1,12;1,70;1,24;1,21;1
Ethiopia;ETH;2016;-1,45;-1,57;-0,64;-1,10;-0,39;-0,44;6,5
Finland;FIN;2016;1,49;0,96;1,85;1,82;2,02;2,28;1
Fiji;FJI;2016;-0,03;0,83;-0,26;-0,38;-0,29;0,13;3
France;FRA;2016;1,08;-0,06;1,41;1,07;1,41;1,37;1
Micronesia, Fed. Sts.;FSM;2016;1,16;1,05;-0,35;-0,97;-0,06;0,65;1
Gabon;GAB;2016;-0,96;-0,07;-0,79;-0,80;-0,58;-0,75;5,5
United Kingdom;GBR;2016;1,24;0,38;1,61;1,76;1,63;1,88;1
Georgia;GEO;2016;0,22;-0,29;0,51;1,01;0,37;0,67;3
Ghana;GHA;2016;0,64;-0,16;-0,20;-0,23;0,00;-0,17;1,5
Guinea;GIN;2016;-0,73;-0,41;-1,01;-0,87;-1,29;-0,94;5
Gambia, The;GMB;2016;-1,28;-0,52;-0,84;-0,51;-0,75;-0,80;6,5
Guinea-Bissau;GNB;2016;-0,70;-0,50;-1,64;-1,24;-1,49;-1,56;5
Equatorial Guinea;GNQ;2016;-1,93;-0,19;-1,41;-1,38;-1,44;-1,81;7
Greece;GRC;2016;0,65;-0,14;0,21;0,15;0,20;-0,05;2
Grenada;GRD;2016;0,86;1,01;-0,18;0,08;0,57;0,57;1,5
Greenland;GRL;2016;1,27;1,96;0,85;1,33;1,74;1,17;
Guatemala;GTM;2016;-0,31;-0,54;-0,60;-0,20;-1,04;-0,74;4
French Guiana;GUF;2016;1,27;0,56;1,14;1,43;1,33;0,98;
Guam;GUM;2016;#N/A;0,67;0,27;0,14;1,09;1,23;
Guyana;GUY;2016;0,30;-0,03;-0,30;-0,42;-0,31;-0,32;2,5
Hong Kong SAR, China;HKG;2016;0,27;0,84;1,86;2,15;1,70;1,58;3,5
Honduras;HND;2016;-0,43;-0,36;-0,73;-0,51;-1,11;-0,69;4
Croatia;HRV;2016;0,52;0,68;0,49;0,36;0,44;0,19;1,5
Haiti;HTI;2016;-0,73;-0,67;-2,06;-1,24;-1,00;-1,35;5
Hungary;HUN;2016;0,37;0,71;0,45;0,60;0,51;0,08;2
Indonesia;IDN;2016;0,14;-0,38;0,01;-0,12;-0,36;-0,39;3
India;IND;2016;0,41;-0,95;0,10;-0,31;-0,07;-0,30;2,5
Ireland;IRL;2016;1,29;0,88;1,35;1,74;1,54;1,63;1
Iran, Islamic Rep.;IRN;2016;-1,39;-0,74;-0,20;-1,23;-0,71;-0,72;6
Iraq;IRQ;2016;-1,01;-2,28;-1,26;-1,13;-1,70;-1,40;5,5
Iceland;ISL;2016;1,34;1,33;1,41;1,28;1,51;1,99;1
Israel;ISR;2016;0,77;-0,83;1,35;1,31;1,02;1,06;1,5
Italy;ITA;2016;1,04;0,35;0,52;0,71;0,27;0,05;1
Jamaica;JAM;2016;0,69;0,24;0,41;0,16;-0,25;-0,16;2,5
Jordan;JOR;2016;-0,76;-0,53;0,14;0,05;0,31;0,27;5,5
Japan;JPN;2016;1,00;1,01;1,83;1,43;1,38;1,51;1
Kazakhstan;KAZ;2016;-1,29;0,04;-0,06;-0,10;-0,42;-0,80;5,5
Kenya;KEN;2016;-0,15;-1,33;-0,31;-0,30;-0,53;-0,90;4
Kyrgyz Republic;KGZ;2016;-0,49;-0,66;-0,90;-0,35;-1,10;-1,08;5
Cambodia;KHM;2016;-1,14;0,18;-0,69;-0,47;-1,10;-1,30;5,5
Kiribati;KIR;2016;1,03;0,87;-0,45;-0,84;0,21;0,25;1
St. Kitts and Nevis;KNA;2016;1,07;0,62;0,14;0,37;0,51;0,52;1,5
Korea, Rep.;KOR;2016;0,63;0,17;1,07;1,11;1,14;0,37;2
Kuwait;KWT;2016;-0,69;-0,15;-0,18;-0,07;0,03;-0,20;5
Lao PDR;LAO;2016;-1,73;0,50;-0,39;-0,73;-0,77;-0,93;6,5
Lebanon;LBN;2016;-0,52;-1,56;-0,53;-0,34;-0,86;-0,97;4,5
Liberia;LBR;2016;-0,10;-0,55;-1,32;-0,95;-0,97;-0,71;3,5
Libya;LBY;2016;-1,37;-2,21;-1,89;-2,27;-1,87;-1,57;6
St. Lucia;LCA;2016;1,09;0,86;0,01;0,29;0,51;0,63;1
Liechtenstein;LIE;2016;1,19;1,46;1,70;1,37;1,68;2,05;1
Sri Lanka;LKA;2016;-0,11;0,07;-0,21;-0,10;-0,01;-0,28;4
Lesotho;LSO;2016;0,03;-0,25;-0,80;-0,39;-0,18;-0,02;3
Lithuania;LTU;2016;0,99;0,80;1,09;1,14;1,02;0,67;1
Luxembourg;LUX;2016;1,44;1,41;1,69;1,72;1,71;2,08;1
Latvia;LVA;2016;0,87;0,39;1,00;1,08;0,95;0,49;2
Kosovo;KSV;2016;-0,16;-0,20;-0,44;-0,19;-0,38;-0,42;3,5
Macao SAR, China;MAC;2016;-0,06;1,42;1,18;1,78;0,83;0,83;
Morocco;MAR;2016;-0,65;-0,29;-0,10;-0,23;-0,14;-0,15;4,5
Monaco;MCO;2016;0,85;1,00;#N/A;#N/A;#N/A;#N/A;1,5
Moldova;MDA;2016;-0,03;-0,28;-0,62;-0,12;-0,54;-0,96;3
Madagascar;MDG;2016;-0,27;-0,40;-1,17;-0,69;-0,74;-0,90;3,5
Maldives;MDV;2016;-0,74;0,41;-0,33;-0,46;-0,41;-0,67;4,5
Mexico;MEX;2016;-0,09;-0,77;0,14;0,29;-0,50;-0,77;3
Marshall Islands;MHL;2016;1,20;0,93;-1,56;-0,98;-0,10;-0,06;1
Macedonia, FYR;MKD;2016;-0,23;-0,38;0,09;0,44;-0,31;-0,31;3,5
Mali;MLI;2016;-0,18;-1,55;-0,99;-0,59;-0,78;-0,67;4,5
Malta;MLT;2016;1,20;1,08;0,95;1,16;1,08;0,72;1
Myanmar;MMR;2016;-0,85;-0,63;-0,98;-0,87;-0,99;-0,65;5,5
Mongolia;MNG;2016;0,45;0,82;-0,11;-0,08;-0,22;-0,50;1,5
Montenegro;MNE;2016;0,08;0,16;0,10;0,22;-0,04;-0,10;3
Mozambique;MOZ;2016;-0,39;-1,05;-0,85;-0,70;-1,02;-0,87;4
Mauritania;MRT;2016;-0,83;-0,74;-0,79;-0,74;-0,78;-0,80;5,5
Martinique;MTQ;2016;#N/A;1,00;0,80;1,24;0,86;1,23;
Mauritius;MUS;2016;0,86;1,05;0,96;1,03;0,80;0,32;1,5
Malawi;MWI;2016;0,04;-0,06;-0,73;-0,84;-0,37;-0,75;3
Malaysia;MYS;2016;-0,47;0,10;0,88;0,71;0,54;0,11;4
Namibia;NAM;2016;0,61;0,74;0,17;-0,14;0,39;0,37;2
Niger;NER;2016;-0,34;-1,08;-0,59;-0,67;-0,64;-0,64;3,5
Nigeria;NGA;2016;-0,30;-1,85;-1,09;-0,92;-1,05;-1,04;4,5
Nicaragua;NIC;2016;-0,63;-0,17;-0,70;-0,51;-0,60;-0,89;3,5
Niue;NIU;2016;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
Netherlands;NLD;2016;1,48;0,89;1,84;1,98;1,89;1,95;1
Norway;NOR;2016;1,58;1,17;1,88;1,70;2,02;2,20;1
Nepal;NPL;2016;-0,23;-0,79;-0,81;-0,76;-0,84;-0,76;3,5
Nauru;NRU;2016;0,52;0,55;-0,69;-0,38;-0,80;-0,47;2
New Zealand;NZL;2016;1,44;1,49;1,86;2,04;1,93;2,30;1
Oman;OMN;2016;-1,11;0,80;0,19;0,61;0,43;0,37;5,5
Pakistan;PAK;2016;-0,69;-2,47;-0,64;-0,64;-0,83;-0,86;4,5
Panama;PAN;2016;0,53;0,43;0,19;0,36;0,03;-0,49;2
Palau;PLW;2016;1,23;0,93;-0,41;-0,18;0,32;-0,47;1
Peru;PER;2016;0,28;-0,16;-0,17;0,51;-0,49;-0,35;2,5
Philippines;PHL;2016;0,14;-1,30;-0,01;0,00;-0,40;-0,53;3
Papua New Guinea;PNG;2016;0,19;-0,50;-0,73;-0,56;-0,75;-0,92;3,5
Poland;POL;2016;0,84;0,51;0,69;0,95;0,68;0,75;1
Puerto Rico;PRI;2016;0,40;0,81;0,38;0,95;0,68;0,04;1
Korea, Dem. Rep.;PRK;2016;-2,13;-0,71;-1,65;-2,33;-1,63;-1,45;7
Portugal;PRT;2016;1,17;1,02;1,22;0,84;1,13;0,96;1
Paraguay;PRY;2016;-0,04;0,20;-0,77;-0,30;-0,67;-0,75;3
Qatar;QAT;2016;-1,20;0,87;0,75;0,70;0,86;0,92;5,5
Réunion;REU;2016;#N/A;0,32;1,06;1,24;1,09;0,64;
Romania;ROM;2016;0,51;0,27;-0,17;0,59;0,30;0,00;2
Russian Federation;RUS;2016;-1,21;-0,89;-0,22;-0,42;-0,80;-0,86;6
Rwanda;RWA;2016;-1,21;-0,05;0,11;0,11;0,07;0,69;6
Samoa;WSM;2016;0,76;1,19;0,54;-0,10;0,76;0,28;2
Saudi Arabia;SAU;2016;-1,78;-0,50;0,24;0,08;0,47;0,23;7
Sudan;SDN;2016;-1,80;-2,38;-1,41;-1,49;-1,26;-1,61;7
Senegal;SEN;2016;0,37;-0,27;-0,47;-0,14;-0,19;-0,03;2
Singapore;SGP;2016;-0,28;1,53;2,21;2,18;1,83;2,07;4
Solomon Islands;SLB;2016;0,49;0,51;-0,99;-0,96;-0,34;-0,34;3
Sierra Leone;SLE;2016;-0,13;-0,16;-1,20;-0,93;-0,79;-0,82;3
El Salvador;SLV;2016;0,28;-0,06;-0,28;0,09;-0,71;-0,57;2,5
San Marino;SMR;2016;1,20;0,93;#N/A;#N/A;#N/A;#N/A;1
Somalia;SOM;2016;-1,83;-2,33;-2,18;-2,27;-2,37;-1,69;7
São Tomé and Principe;STP;2016;0,45;0,23;-0,68;-0,81;-0,69;-0,06;2
Suriname;SUR;2016;0,46;0,27;-0,34;-0,63;-0,12;-0,32;2,5
Slovak Republic;SVK;2016;0,94;0,62;0,89;0,89;0,69;0,24;1
Slovenia;SVN;2016;1,00;0,99;1,12;0,64;1,08;0,80;1
Sweden;SWE;2016;1,50;0,98;1,79;1,85;2,04;2,22;1
Swaziland;SWZ;2016;-1,42;-0,49;-0,56;-0,58;-0,32;-0,44;6
Seychelles;SYC;2016;0,16;0,72;0,36;-0,26;0,13;0,79;3
Syrian Arab Republic;SYR;2016;-1,96;-2,91;-1,82;-1,67;-2,01;-1,57;7
Chad;TCD;2016;-1,34;-1,21;-1,49;-1,18;-1,43;-1,45;6,5
Togo;TGO;2016;-0,51;-0,20;-1,08;-0,79;-0,68;-0,68;4
Thailand;THA;2016;-1,10;-0,93;0,34;0,17;0,01;-0,40;5,5
Tajikistan;TJK;2016;-1,67;-0,79;-1,02;-1,09;-1,18;-1,07;6,5
Turkmenistan;TKM;2016;-2,13;-0,31;-1,14;-2,09;-1,56;-1,46;7
Timor-Leste;TMP;2016;0,24;-0,08;-1,03;-0,98;-1,20;-0,51;3
Tonga;TON;2016;0,67;0,91;-0,29;-0,41;0,24;-0,44;2
Trinidad and Tobago;TTO;2016;0,60;0,28;0,22;0,09;-0,16;-0,26;2
Tunisia;TUN;2016;0,33;-0,99;-0,21;-0,47;0,02;-0,12;2
Turkey;TUR;2016;-0,63;-2,00;0,05;0,20;-0,16;-0,20;3,5
Tuvalu;TUV;2016;1,09;1,40;-0,93;-0,59;0,46;0,03;1
Taiwan, China;TWN;2016;1,04;0,93;1,37;1,29;1,14;0,86;1,5
Tanzania;TZA;2016;-0,18;-0,41;-0,55;-0,44;-0,39;-0,51;3,5
Uganda;UGA;2016;-0,71;-0,72;-0,57;-0,21;-0,24;-1,06;5,5
Ukraine;UKR;2016;0,02;-1,89;-0,58;-0,43;-0,77;-0,84;3
Uruguay;URY;2016;1,18;1,10;0,55;0,49;0,63;1,32;1
United States;USA;2016;1,10;0,35;1,48;1,50;1,67;1,33;1
Uzbekistan;UZB;2016;-1,89;-0,34;-0,60;-1,62;-1,13;-1,20;7
St. Vincent and the Grenadines;VCT;2016;1,04;1,01;0,21;0,28;0,41;0,68;1
Venezuela, RB;VEN;2016;-1,13;-1,03;-1,29;-2,00;-2,18;-1,39;5
Virgin Islands (U.S.);VIR;2016;#N/A;1,00;1,33;0,87;0,62;0,64;
Vietnam;VNM;2016;-1,41;0,17;0,01;-0,45;0,05;-0,40;6
Vanuatu;VUT;2016;0,69;0,51;-0,88;-0,29;0,32;-0,10;2
West Bank and Gaza;WBG;2016;-1,17;-2,10;-0,62;0,06;-0,31;-0,15;5,5
Jersey, Channel Islands;JEY;2016;1,27;1,32;1,28;0,70;1,74;1,14;
Yemen, Rep.;YEM;2016;-1,65;-2,79;-1,82;-1,48;-1,60;-1,67;6,5
Serbia;SRB;2016;0,21;0,05;0,09;0,06;-0,12;-0,31;2
South Africa;ZAF;2016;0,64;-0,13;0,27;0,21;0,07;0,05;2
Congo, Dem. Rep.;ZAR;2016;-1,39;-2,20;-1,51;-1,32;-1,61;-1,33;6
Zambia;ZMB;2016;-0,30;0,18;-0,66;-0,48;-0,30;-0,40;3,5
Zimbabwe;ZWE;2016;-1,11;-0,61;-1,16;-1,72;-1,32;-1,28;5
